review_tier,id,klass,title,source_decision,cap,final_review_status,final_source_priority,final_valid_from,final_valid_to,final_supersedes,final_procedure_version,final_last_verified_at,existing_phi_le_phi,final_phi_le_phi,candidate_thoi_han,final_thoi_han,candidate_mau_don,final_mau_don,suggested_authority,final_authority,paper_flag,notes
HIGH,tthc_5568-tinh-01,tthc,Cấp hộ chiếu phổ thông ở trong nước,5568/QD-BCA,tinh,pending,current_procedure,,,,,,Lệ phí: Chưa xác minh | Phí: Chưa xác minh,Lệ phí: Chưa xác minh | Phí: Chưa xác minh,,,TK01,TK01,Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),,
HIGH,tthc_5568-tinh-02,tthc,Khôi phục giá trị sử dụng hộ chiếu phổ thông,5568/QD-BCA,tinh,pending,current_procedure,,,,,,Lệ phí: Không | Phí: Không,Lệ phí: Không | Phí: Không,,,TK04,TK04,Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),,
HIGH,tthc_5568-tinh-03,tthc,Trình báo mất hộ chiếu phổ thông,5568/QD-BCA,tinh,pending,current_procedure,,,,,,Lệ phí: Không | Phí: Không,Lệ phí: Không | Phí: Không,,,TK05,TK05,Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),,
HIGH,tthc_5568-tinh-04,tthc,Cấp thị thực cho người nước ngoài tại Việt Nam,5568/QD-BCA,tinh,pending,current_procedure,,,,,,Lệ phí: Không | Phí: Không,Lệ phí: Không | Phí: Không,,,NA5,NA5,Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),,
HIGH,tthc_5568-tinh-05,tthc,Cấp thẻ tạm trú cho người nước ngoài tại Việt Nam tại Công an cấp tỉnh,5568/QD-BCA,tinh,pending,current_procedure,,,,,,"Lệ phí: Không | Phí: Thẻ tạm trú có thời hạn không quá 02 năm: 145 USD/thẻ.
	Thẻ tạm trú có thời hạn từ trên 02 năm đến 05 năm: 155 USD/thẻ.
	Thẻ tạm trú có thời hạn từ trên 05 năm đến 10 năm: 165 USD/thẻ.","Lệ phí: Không | Phí: Thẻ tạm trú có thời hạn không quá 02 năm: 145 USD/thẻ.
	Thẻ tạm trú có thời hạn từ trên 02 năm đến 05 năm: 155 USD/thẻ.
	Thẻ tạm trú có thời hạn từ trên 05 năm đến 10 năm: 165 USD/thẻ.",,,"NA6, NA7, NA8","NA6, NA7, NA8",Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),,
HIGH,tthc_5568-tinh-06,tthc,Gia hạn tạm trú cho người đã được cấp giấy miễn thị thực,5568/QD-BCA,tinh,pending,current_procedure,,,,,,Lệ phí: Không | Phí: 10 USD/lần,Lệ phí: Không | Phí: 10 USD/lần,,,NA5,NA5,Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),,
HIGH,tthc_5568-tinh-07,tthc,Gia hạn tạm trú cho người nước ngoài tại Việt Nam,5568/QD-BCA,tinh,pending,current_procedure,,,,,,Lệ phí: Không | Phí: 10 USD/lần,Lệ phí: Không | Phí: 10 USD/lần,,,NA5,NA5,Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),,
HIGH,tthc_5568-tinh-08,tthc,Cấp thẻ thường trú cho người nước ngoài tại Việt Nam,5568/QD-BCA,tinh,pending,current_procedure,,,,,,Lệ phí: Chưa xác minh | Phí: Chưa xác minh,Lệ phí: Chưa xác minh | Phí: Chưa xác minh,,,NA12,NA12,Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),,
HIGH,tthc_5568-tinh-09,tthc,Cấp đổi thẻ thường trú cho người nước ngoài tại Việt Nam tại Công an cấp tỉnh,5568/QD-BCA,tinh,pending,current_procedure,,,,,,Lệ phí: Chưa xác minh | Phí: Chưa xác minh,Lệ phí: Chưa xác minh | Phí: Chưa xác minh,,,NA13,NA13,Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),,
HIGH,tthc_5568-tinh-10,tthc,Cấp lại thẻ thường trú cho người nước ngoài tại Việt Nam tại Công an cấp tỉnh,5568/QD-BCA,tinh,pending,current_procedure,,,,,,Lệ phí: Không | Phí: 100 USD/thẻ,Lệ phí: Không | Phí: 100 USD/thẻ,,,NA13,NA13,Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),,
HIGH,tthc_5568-tinh-11,tthc,"Cấp giấy phép vào khu vực cấm, khu vực biên giới cho người nước ngoài tại Công an cấp tỉnh",5568/QD-BCA,tinh,pending,current_procedure,,,,,,Lệ phí: Chưa xác minh | Phí: Chưa xác minh,Lệ phí: Chưa xác minh | Phí: Chưa xác minh,,,,,Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),,
